mz,ms1score,,,,,,,,,,,,,,,ms1score,ms1score,Bins,,Bin,Frequency,,,
404.1775004,-1.473978831,-3.596924481,-5.47391639,,,,,,,,,,,,,-6.066607742,-6.1,,,,,,,
403.2065125,-4.139507146,,,,,,,,,,,,,,,-6.065899689,-6.1,,,,,,,
404.2124939,0,,,,,,,,,,,,,,,-6.050450887,-6.1,,,,,,,
404.2124939,0,,,,,,,,,,,,,,,-6.050450887,-6.1,,,,,,,
404.2385152,0,,,,,,,,,,,,,,,-6.049219105,-6,,,,,,,
404.2775472,-2.295704518,-3.402999831,-3.402999831,,,,,,,,,,,,,-6.049219105,-6,,,,,,,
404.2780151,0.017477809,0.017477809,0.017477809,,,,,,,,,,,,,-6.048512504,-6,,,,,,,
404.2778931,-0.003829162,-0.003829162,-0.003829162,,,,,,,,,,,,,-6.048193927,-6,,,,,,,
404.2775472,-2.295704518,-3.402999831,-3.402999831,,,,,,,,,,,,,-6.045908637,-6,,,,,,,
404.2783,-0.003829162,-0.003829162,-0.003829162,,,,,,,,,,,,,-6.039537224,-6,,,,,,,
404.2934469,0.018501513,0.018501513,-0.037639198,-0.037639198,-0.037639198,-0.037639198,,,,,,,,,,-6.039537224,-6,,,,,,,
404.2934469,0.018501513,0.018501513,-0.037639198,-0.037639198,-0.037639198,-0.037639198,,,,,,,,,,-6.039537224,-6,,,,,,,
403.3217163,-0.981223954,,,,,,,,,,,,,,,-6.039537224,-6,,,,,,,
404.3616231,0,,,,,,,,,,,,,,,-6.038046772,-6,,,,,,,
404.6769918,-7.494601832,,,,,,,,,,,,,,,-6.038046772,-6,,,,,,,
404.6769918,-7.494601832,,,,,,,,,,,,,,,-6.030377141,-6,,,,,,,
