"mz","rt","X500_700_Neg_JeansA.mzXML","X500_700_Neg_JeansB.mzXML","X500_700_Neg_JeansC.mzXML","X500_700_Neg_JeansD.mzXML","X500_700_Neg_JeansDx.mzXML","X500_700_Neg_JeansE.mzXML","X500_700_Neg_JeansF.mzXML","X500_700_Neg_JeansG.mzXML","X500_700_Neg_JeansGx.mzXML","SampleID","formula.pred","isoscore","mserror","ms1score","SMILES","DbID","Adducts","neutralscore","ionmodescore","adductscore","MS2score","rtscore","allscore"
582.510131835938,9.68401666666667,100,7844.45068359375,29993.935546875,57096.7421875,121681.546875,48685.33203125,40210.546875,117769.7265625,9851.5517578125,5,"C36H73NS2;C36H73NS2;C36H73NS2","-0.00819220039880318;-0.00819220039880318;-0.00819220039880318","-4.43104205165869;-4.43104205165869;-4.43104205165869","-5.4392342520575;-5.4392342520575;-5.4392342520575","CCCCCCCCCCCCCCCCCCNC(=S)CCCCCCCCCCC(S)CCCCCC;CCCCCCCCCCCCCCCCN(C)C.CCCCCCCC\C=C/CCCCCCCC(S)=S;CCCCCCCCCCCCCCCCCCN.CCCCCCCC\C=C/CCCCCCCC(S)=S","24816;37253;45001","[M-H]-;[M-H]-;[M-H]-","0","0;0;0","1;1;1","0;0;0",0,"-4.4392342520575;-4.4392342520575;-4.4392342520575"
583.32822672526,6.3646,5404.552734375,100,7800768.5,1792970.625,581948.375,2577457.5,3624565.25,2715374.75,1043363.3125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
583.328063964844,6.36363333333333,100,100,100,100,100,100,1004735.5625,568686.125,75623.5234375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
583.328063964844,6.36363333333333,100,100,100,100,100,100,1004735.5625,568686.125,224137.21875,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
584.331237792969,6.36363333333333,100,100,100,100,100,100,309779.4375,29863.599609375,67140.2890625,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
584.331237792969,6.36363333333333,100,100,23112.103515625,100,100,100,309779.4375,167626.1875,67140.2890625,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
584.489522298177,11.66345,100,100,5496.6826171875,10350.3359375,100,100,264473.25,13634.2509765625,73021.234375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
584.489522298177,11.66345,100,100,5496.6826171875,10350.3359375,100,100,264473.25,214478.546875,73021.234375,7,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
585.290059407552,5.10466666666667,131309.390625,169119.0625,501346.4375,111726.921875,115110.953125,113732.265625,156384.671875,109511.421875,141768.953125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
585.343933105469,6.33525,20770.380859375,3498.19775390625,33556192,19260906,5176250.5,28583554,8162026.5,4292515.5,1715704.875,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
586.293599446615,5.07583333333333,48693.078125,59791.93359375,209831.75,40657.8359375,46374.671875,46635.7578125,49494.33203125,40703.390625,37342.0703125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
586.293599446615,5.07583333333333,48693.078125,59791.93359375,209831.75,40657.8359375,46374.671875,46635.7578125,49494.33203125,40703.390625,37342.0703125,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
585.34375,6.33525,8152.87890625,100,12504683,7189062,1932846.875,10581920,3237540,1649718,639360.875,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
586.357401529948,5.71891666666667,100,164008.53125,234674.109375,24976.845703125,100,100,74047.0390625,25507.71484375,11099.23046875,3,"C28H60NS4","-0.549607882090694","-3.82270889330372","-4.37231677539441","CCCCCCCCCCCCCCCCCCC[N+](C)(CCSCCS)CCSCCS","21905","[M+CH2O2-H]-","0","0","0","0",0,"-4.37231677539441"
586.347473144531,6.33525,173109.953125,59490.33203125,419542.78125,237201.828125,48073.8671875,100,37913.9609375,47419.31640625,15195.037109375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
586.347473144531,6.33525,173109.953125,59490.33203125,419542.78125,237201.828125,48073.8671875,100,37913.9609375,47419.31640625,15195.037109375,3,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
588.352498372396,6.33525,57247.140625,25393.951171875,150074.03125,61712.6171875,21959.673828125,100,14007.9990234375,15073.91015625,100,3,"C30H59N3S4","-4.60517018598809","-1.95680274323937","-6.56197292922746","CCCCCCCC/C=C/CCCCCCCC1=NCCN1CCN(CCSCCS)CCSCCS","27842","[M-H]-","0","0","1","0",0,"0"
588.476603190104,7.56555,100,100,100,100,48327.41015625,100,100,101300.3671875,100,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
586.851318359375,7.30108333333333,100,100,100,100,100,100,83351.1484375,117148.515625,25985.306640625,8,"0","0","0","0","0","0","0","0","0","0","0",0,"0"
