mz,minintensity,sampleID,IsUnique,,Formula,ProdList,+e-,-10 ppm,+10 ppm,,Match found?,Total matches
138.019,6717.177734,9,FALSE,,,,,,,,,
138.889,3533.534668,1,FALSE,,,,,,,,,
138.889,2931.6604,2,FALSE,,,,,,,,,
138.889,2694.469238,4,FALSE,,,,,,,,,
138.889,5851.725586,5,FALSE,,,,,,,,,
138.889,2796.212646,6,FALSE,,,,,,,,,
138.889,3531.552979,7,FALSE,,,,,,,,,
138.889,3856.555908,8,FALSE,,,,,,,,,
138.889,4115.012695,9,FALSE,,,,,,,,,
139.003,3337.362305,4,FALSE,,,,,,,,,
139.003,3380.92749,5,FALSE,,,,,,,,,
139.003,3214.712646,9,FALSE,,,,,,,,,
139.039,3135.578857,1,FALSE,,,,,,,,,
139.039,3162.10376,2,FALSE,,,,,,,,,
139.039,3178.727783,4,FALSE,,,,,,,,,
139.039,3708.790039,5,FALSE,,,,,,,,,
139.039,3014.191162,6,FALSE,,,,,,,,,
139.039,3664.814941,7,FALSE,,,,,,,,,
139.039,4064.359863,8,FALSE,,,,,,,,,
139.039,2742.092285,9,FALSE,,,,,,,,,
139.075,2758.617676,1,FALSE,,,,,,,,,
139.075,3594.458496,2,FALSE,,,,,,,,,
139.075,2405.288086,4,FALSE,,,,,,,,,
139.075,2800.065918,5,FALSE,,,,,,,,,
139.075,3620.605957,6,FALSE,,,,,,,,,
139.075,3045.450439,7,FALSE,,,,,,,,,
139.075,2663.22876,8,FALSE,,,,,,,,,
139.075,3286.916748,9,FALSE,,,,,,,,,
141.018,2914.845459,1,FALSE,,,,,,,,,
141.018,2729.411865,2,FALSE,,,,,,,,,
141.018,2993.063232,4,FALSE,,,,,,,,,
141.018,2879.45166,5,FALSE,,,,,,,,,
141.018,2925.745605,6,FALSE,,,,,,,,,
141.018,3070.421387,8,FALSE,,,,,,,,,
141.018,3186.601807,9,FALSE,,,,,,,,,
141.055,2783.477051,1,FALSE,,,,,,,,,
141.055,3488.703125,2,FALSE,,,,,,,,,
141.055,3310.918213,4,FALSE,,,,,,,,,
141.055,3798.460938,5,FALSE,,,,,,,,,
141.055,3402.133789,6,FALSE,,,,,,,,,
