mz,,,,,Found
225.0319139,,,,,
225.0319258,,,,,
225.0341288,,,,,
225.0379461,,,,,
225.0441249,,,,,
225.0441414,,,,,
225.1496758,,,,,
225.1496771,,,,,
225.1608026,,,,,
225.1857824,,,,,
225.9114558,,,,,
225.9816358,,,,,
225.9816571,,,,,
226.0206281,,,,,
226.0509997,,,,,
226.1084933,,,,,
226.1448799,,,,,
226.9869037,,,,,
226.9869583,,,,,
227.0116974,,,,,
227.0383932,,,,,
227.0925483,,,,,
227.1288255,,,,,
227.1288831,,,,,
227.1288858,,,,,
227.1288888,,,,,
227.1652796,,,,,
227.1652901,,,,,
227.1653137,,,,,
227.1653419,,,,,
227.2017558,,,,,
227.9972184,,,,,
228.033604,,,,,
228.1241579,,,,,
228.1321733,,,,,
228.1321822,,,,,
228.1605365,,,,,
228.1685976,,,,,
228.168606,,,,,
228.1686295,,,,,
228.1688489,,,,,
228.1688802,,,,,
228.2050702,,,,,
228.9177053,,,,,
228.9401523,,,,,
229.0087217,,,,,
229.0391485,,,,,
229.1445444,,,,,
229.1445574,,,,,
229.1809134,,,,,
229.180931,,,,,
229.1809343,,,,,
229.180976,,,,,
230.0120195,,,,,
230.045907,,,,,
230.1398401,,,,,
230.1478922,,,,,
230.1842045,,,,,
230.1842105,,,,,
230.1842162,,,,,
230.1842245,,,,,
231.1238285,,,,,
231.1603268,,,,,
231.9299576,,,,,
232.0544904,,,,,
232.0614331,,,,,
232.1271495,,,,,
232.9225765,,,,,
232.9246734,,,,,
232.9892943,,,,,
233.0490072,,,,,
233.1030862,,,,,
233.1394958,,,,,
233.9242848,,,,,
233.9243258,,,,,
233.963192,,,,,
233.9998635,,,,,
234.1063935,,,,,
234.1134421,,,,,
234.9203365,,,,,
235.0434776,,,,,
235.0607384,,,,,
235.1013587,,,,,
235.1701444,,,,,
235.1702518,,,,,
235.1702536,,,,,
235.9199482,,,,,
236.0037282,,,,,
236.8704569,,,,,
236.8705155,,,,,
236.9169525,,,,,
236.9522335,,,,,
237.0763861,,,,,
237.1129972,,,,,
237.1131456,,,,,
237.1132461,,,,,
237.1168954,,,,,
237.1343911,,,,,
237.1344022,,,,,
237.1455682,,,,,
237.8711771,,,,,
238.0722035,,,,,
238.1296238,,,,,
238.8699842,,,,,
238.8914186,,,,,
238.8954566,,,,,
238.9341895,,,,,
238.9342246,,,,,
238.9526739,,,,,
239.0597106,,,,,
239.0597174,,,,,
239.059727,,,,,
239.0597281,,,,,
239.0597356,,,,,
239.059749,,,,,
239.0597511,,,,,
239.0597522,,,,,
239.0598314,,,,,
239.0674792,,,,,
239.1289213,,,,,
239.1289237,,,,,
239.2019317,,,,,
240.0707719,,,,,
240.0880689,,,,,
240.0958878,,,,,
240.1241272,,,,,
240.1321688,,,,,
240.1322069,,,,,
240.1603928,,,,,
240.160456,,,,,
240.8707233,,,,,
240.8872158,,,,,
240.9311942,,,,,
240.9312043,,,,,
240.9942074,,,,,
241.0389409,,,,,
241.0389723,,,,,
241.0390017,,,,,
241.0539506,,,,,
241.1252741,,,,,
241.1445419,,,,,
241.1446121,,,,,
241.144645,,,,,
241.1446458,,,,,
241.1809335,,,,,
241.1809448,,,,,
241.180981,,,,,
241.2174872,,,,,
242.0669803,,,,,
242.1285022,,,,,
242.1397449,,,,,
242.1479406,,,,,
242.1479735,,,,,
242.1762257,,,,,
242.1843763,,,,,
242.2207602,,,,,
242.8726546,,,,,
242.8727321,,,,,
242.8727717,,,,,
243.1601776,,,,,
243.1601906,,,,,
243.1602597,,,,,
243.1961765,,,,,
243.1966788,,,,,
243.9842717,,,,,
244.0958926,,,,,
244.1554375,,,,,
244.1634353,,,,,
244.1635379,,,,,
244.1998015,,,,,
245.1394403,,,,,
245.1394568,,,,,
246.0593688,,,,,
246.1135286,,,,,
246.1135717,,,,,
246.8769843,,,,,
247.0137598,,,,,
247.1187419,,,,,
247.1379404,,,,,
247.9790544,,,,,
248.1220544,,,,,
248.9605947,,,,,
248.9824872,,,,,
249.0323378,,,,,
249.0592203,,,,,
249.0727331,,,,,
249.1090137,,,,,
249.9759598,,,,,
250.0355658,,,,,
250.9794775,,,,,
251.0560608,,,,,
251.0597164,,,,,
251.096371,,,,,
251.1136597,,,,,
251.1327704,,,,,
251.1487087,,,,,
251.1651315,,,,,
251.1651943,,,,,
252.0593933,,,,,
252.1605069,,,,,
253.0197286,,,,,
253.0366804,,,,,
253.0506618,,,,,
253.0564096,,,,,
253.0718003,,,,,
253.0718321,,,,,
253.1081862,,,,,
253.1445497,,,,,
253.144579,,,,,
253.1446054,,,,,
253.1446665,,,,,
253.1810748,,,,,
253.1810961,,,,,
253.2175011,,,,,
253.9452662,,,,,
254.0751042,,,,,
254.0751056,,,,,
254.0822172,,,,,
254.1247382,,,,,
254.147877,,,,,
254.1764615,,,,,
254.1844637,,,,,
254.1846128,,,,,
254.2206695,,,,,
254.9170022,,,,,
255.0003929,,,,,
255.0181626,,,,,
255.0332107,,,,,
255.0487086,,,,,
255.0700014,,,,,
255.1238819,,,,,
255.1285428,,,,,
255.1409042,,,,,
255.1602708,,,,,
255.1603432,,,,,
255.196761,,,,,
255.1967923,,,,,
255.2331378,,,,,
256.0821766,,,,,
256.1555633,,,,,
256.1637347,,,,,
256.2001052,,,,,
256.2362474,,,,,
256.2363224,,,,,
256.2363703,,,,,
256.236436,,,,,
256.2364568,,,,,
256.2364658,,,,,
256.2364786,,,,,
256.2365223,,,,,
256.2365383,,,,,
256.2365569,,,,,
257.0431341,,,,,
257.1030874,,,,,
257.1031164,,,,,
257.1395244,,,,,
257.1396272,,,,,
257.1405183,,,,,
257.1405945,,,,,
257.175977,,,,,
257.1760343,,,,,
257.1760501,,,,,
257.2126188,,,,,
257.2130226,,,,,
257.2398299,,,,,
257.9443013,,,,,
258.0175342,,,,,
258.1792688,,,,,
258.1793283,,,,,
258.1793378,,,,,
258.9157715,,,,,
259.1187371,,,,,
259.1551097,,,,,
260.0809185,,,,,
260.122028,,,,,
260.8733946,,,,,
261.134428,,,,,
261.1344444,,,,,
261.1710076,,,,,
261.9583263,,,,,
261.9616336,,,,,
261.9947033,,,,,
262.0932191,,,,,
262.1377221,,,,,
262.1377574,,,,,
262.8692324,,,,,
262.9983961,,,,,
263.0099285,,,,,
263.0881733,,,,,
263.1328371,,,,,
263.1651021,,,,,
263.9917436,,,,,
264.0102445,,,,,
264.0129658,,,,,
264.1088875,,,,,
264.8940041,,,,,
264.8941892,,,,,
264.9955439,,,,,
265.0080797,,,,,
265.0483456,,,,,
266.1247203,,,,,
266.1511849,,,,,
266.1512422,,,,,
266.1512889,,,,,
266.1512975,,,,,
266.1513304,,,,,
266.151353,,,,,
