SCCP 51.5,Area,%Cl,SCCP 63,Area,%Cl
C13H21Cl7,0.168174362,0.585171909,C13H21Cl7,0.166990145,0.585171909
C13H20Cl8,0.039289156,0.617673546,C13H20Cl8,0.392136479,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.127544376,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.001659421,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
C10H17Cl5,0.024895202,0.564029913,C10H17Cl5,0.006265337,0.564029913
C10H16Cl6,0.037004567,0.61001587,C10H16Cl6,0.05212855,0.61001587
C10H15Cl7,0,0.648963809,C10H15Cl7,0.075929753,0.648963809
C10H14Cl8,0,0.679450536,C10H14Cl8,0.024516512,0.679450536
C10H13Cl9,0,0.70652478,C10H13Cl9,0,0.70652478
C10H12Cl10,0,0.729148224,C10H12Cl10,0,0.729148224
C11H19Cl5,0.253470698,0.540036209,C11H19Cl5,0.022005881,0.540036209
C11H18Cl6,0.270132965,0.586515046,C11H18Cl6,0.178178402,0.586515046
C11H17Cl7,0.078579272,0.626189543,C11H17Cl7,0.443993762,0.626189543
C11H16Cl8,0,0.657507656,C11H16Cl8,0.350063218,0.657507656
C11H15Cl9,0,0.685441767,C11H15Cl9,0.101891007,0.685441767
C11H14Cl10,0,0.708874256,C11H14Cl10,0,0.708874256
C11H13Cl11,0,0.729870304,C11H13Cl11,0,0.729870304
C12H21Cl5,0.359287636,0.518017402,C12H21Cl5,0.014482254,0.518017402
C12H20Cl6,0.471616225,0.564770501,C12H20Cl6,0.084541052,0.564770501
C12H19Cl7,0.187950929,0.604976907,C12H19Cl7,0.354467616,0.604976907
C12H18Cl8,0.032252364,0.636957678,C12H18Cl8,0.490199151,0.636957678
C12H17Cl9,0,0.665603631,C12H17Cl9,0.257411755,0.665603631
C12H16Cl10,0,0.689720254,C12H16Cl10,0.045749273,0.689720254
C12H15Cl11,0,0.711427391,C12H15Cl11,0,0.711427391
C12H14Cl12,0,0.730319474,C12H14Cl12,0,0.730319474
C13H23Cl5,0.240572744,0.497740756,C13H23Cl5,0,0.497740756
C13H22Cl6,0.399850631,0.544593691,C13H22Cl6,0.013516437,0.544593691
C13H21Cl7,0.206333186,0.585171909,C13H21Cl7,0.13505112,0.585171909
C13H20Cl8,0.044500242,0.617673546,C13H20Cl8,0.337952871,0.617673546
C13H19Cl9,0,0.646470574,C13H19Cl9,0,0.646470574
C13H18Cl10,0,0.671597464,C13H18Cl10,0.12389022,0.671597464
C13H17Cl11,0,0.693919281,C13H17Cl11,0.004683092,0.693919281
C13H16Cl12,0,0.713362548,C13H16Cl12,0,0.713362548
C13H15Cl13,0,0.730258711,C13H15Cl13,0,0.730258711
