mz,minintensity,sampleID,,IsUnique,,mz,,lockmass mz
100.932,11645.98145,43,,FALSE,,,,
112.984,245816.2969,43,,FALSE,,,,
129.054,206580.4219,43,,FALSE,,,,
131.07,103998.7422,43,,FALSE,,,,
132.922,29829.04883,43,,FALSE,,,,
143.07,275874.1563,43,,FALSE,,,,
148.06,335789.4375,43,,FALSE,,,,
201.076,144086.0469,43,,FALSE,,,,
100.932,8974.857422,44,,FALSE,,,,
112.984,302148.3125,44,,FALSE,,,,
117.054,142692.0781,44,,FALSE,,,,
129.054,612142.625,44,,FALSE,,,,
131.07,101857.0703,44,,FALSE,,,,
132.922,33776.30078,44,,FALSE,,,,
143.07,483045.4688,44,,FALSE,,,,
145.086,69227.10938,44,,FALSE,,,,
148.06,316130.875,44,,FALSE,,,,
157.086,210661.9375,44,,FALSE,,,,
201.076,128676.6172,44,,FALSE,,,,
100.932,7411.17334,45,,FALSE,,,,
112.984,309110.7813,45,,FALSE,,,,
117.054,247044.9688,45,,FALSE,,,,
131.07,95102.54688,45,,FALSE,,,,
132.922,25669.03125,45,,FALSE,,,,
143.07,518337.2813,45,,FALSE,,,,
145.086,66012.35156,45,,FALSE,,,,
148.06,339100.0938,45,,FALSE,,,,
157.086,188812.0938,45,,FALSE,,,,
201.076,146415.7188,45,,FALSE,,,,
100.932,7456.695313,46,,FALSE,,,,
112.984,298432.9063,46,,FALSE,,,,
117.054,203730.8594,46,,FALSE,,,,
131.07,107057.8125,46,,FALSE,,,,
132.922,25438.48047,46,,FALSE,,,,
143.07,454868.3438,46,,FALSE,,,,
145.086,65598.86719,46,,FALSE,,,,
148.06,304372.875,46,,FALSE,,,,
157.086,182294.1563,46,,FALSE,,,,
171.138,132019.3125,46,,FALSE,,,,
201.076,151450.9375,46,,FALSE,,,,
100.932,5524.405273,47,,FALSE,,,,
112.984,273712.375,47,,FALSE,,,,
121.028,162180.1719,47,,FALSE,,,,
131.07,97561.89063,47,,FALSE,,,,
132.922,21437.67578,47,,FALSE,,,,
143.07,502429.5313,47,,FALSE,,,,
145.086,62638.125,47,,FALSE,,,,
157.086,190211.1875,47,,FALSE,,,,
201.076,132640,47,,FALSE,,,,
100.932,7716.435059,49,,FALSE,,,,
112.984,266365.6875,49,,FALSE,,,,
143.07,443975.25,49,,FALSE,,,,
148.06,298615.875,49,,FALSE,,,,
157.086,180105.625,49,,FALSE,,,,
201.076,143444.1719,49,,FALSE,,,,
100.932,6961.338379,50,,FALSE,,,,
112.984,278789.9688,50,,FALSE,,,,
117.054,181141.1406,50,,FALSE,,,,
131.07,102829.4297,50,,FALSE,,,,
143.07,463643.8438,50,,FALSE,,,,
145.086,59498.18359,50,,FALSE,,,,
157.086,176824.7656,50,,FALSE,,,,
157.122,110525.125,50,,FALSE,,,,
201.076,145596.1406,50,,FALSE,,,,
100.932,4461.478516,53,,FALSE,,,,
112.984,225394.9063,53,,FALSE,,,,
117.054,218158.5781,53,,FALSE,,,,
132.922,16639.94922,53,,FALSE,,,,
143.07,453270.7188,53,,FALSE,,,,
145.086,50932.67578,53,,FALSE,,,,
148.06,286837,53,,FALSE,,,,
157.086,178504.5,53,,FALSE,,,,
201.076,127934.5078,53,,FALSE,,,,
241.108,27973.09961,53,,TRUE,,,,
100.932,5075.483398,54,,FALSE,,,,
112.984,251952.6875,54,,FALSE,,,,
121.028,160944.6094,54,,FALSE,,,,
143.07,420171.75,54,,FALSE,,,,
145.086,55268.38281,54,,FALSE,,,,
157.086,148332.6094,54,,FALSE,,,,
201.076,126374.5547,54,,FALSE,,,,
100.932,3978.668457,55,,FALSE,,,,
112.984,269138.7188,55,,FALSE,,,,
132.922,17879.71875,55,,FALSE,,,,
143.07,453396.625,55,,FALSE,,,,
148.06,292371.3125,55,,FALSE,,,,
157.086,174283.375,55,,FALSE,,,,
100.932,3447.569336,56,,FALSE,,,,
112.984,270886.0938,56,,FALSE,,,,
129.054,367759.9063,56,,FALSE,,,,
143.07,278964.5938,56,,FALSE,,,,
148.06,128553.3047,56,,FALSE,,,,
157.086,111389.9688,56,,FALSE,,,,
201.076,153975.375,56,,FALSE,,,,
100.932,5329.562988,57,,FALSE,,,,
112.984,251348.2031,57,,FALSE,,,,
117.054,251932.1719,57,,FALSE,,,,
129.054,601711.3125,57,,FALSE,,,,
132.922,21753.90234,57,,FALSE,,,,
143.07,468584.5938,57,,FALSE,,,,
145.086,62551.53516,57,,FALSE,,,,
148.06,285609.2813,57,,FALSE,,,,
157.086,200344.4688,57,,FALSE,,,,
201.076,145872.6875,57,,FALSE,,,,
213.076,83320.96875,57,,FALSE,,,,
100.932,3118.18457,58,,FALSE,,,,
112.984,240454.1406,58,,FALSE,,,,
121.028,272972.75,58,,FALSE,,,,
131.07,92908.96094,58,,FALSE,,,,
132.922,20016.83594,58,,FALSE,,,,
143.07,472782.5938,58,,FALSE,,,,
145.086,58249.99609,58,,FALSE,,,,
148.06,294084.9688,58,,FALSE,,,,
157.086,159585.1563,58,,FALSE,,,,
100.932,3649.341797,59,,FALSE,,,,
112.984,179848.6094,59,,FALSE,,,,
117.054,64195.02344,59,,FALSE,,,,
129.054,421497.7813,59,,FALSE,,,,
143.07,448797.4688,59,,FALSE,,,,
148.06,270496.8438,59,,FALSE,,,,
100.932,4111.026855,60,,FALSE,,,,
112.984,265212.5,60,,FALSE,,,,
121.028,161117.9219,60,,FALSE,,,,
129.054,558317.875,60,,FALSE,,,,
143.07,444809.125,60,,FALSE,,,,
145.086,50427.72656,60,,FALSE,,,,
148.06,258098.2656,60,,FALSE,,,,
157.086,176828.6875,60,,FALSE,,,,
213.076,77991.46875,60,,FALSE,,,,
100.932,3457.203369,61,,FALSE,,,,
112.984,266618.7813,61,,FALSE,,,,
143.07,394415.0938,61,,FALSE,,,,
100.932,3633.512939,65,,FALSE,,,,
112.984,240365.75,65,,FALSE,,,,
129.054,570243.25,65,,FALSE,,,,
132.922,16523.70508,65,,FALSE,,,,
143.07,394975.25,65,,FALSE,,,,
148.06,253194.6875,65,,FALSE,,,,
157.086,136345.8594,65,,FALSE,,,,
199.06,118735.1484,65,,FALSE,,,,
201.076,141994.375,65,,FALSE,,,,
213.076,81741.5625,65,,FALSE,,,,
100.932,3333.239258,66,,FALSE,,,,
112.984,256483.7813,66,,FALSE,,,,
129.054,501307.0625,66,,FALSE,,,,
132.922,17691.89648,66,,FALSE,,,,
143.07,422322.5938,66,,FALSE,,,,
145.086,50248.53125,66,,FALSE,,,,
148.06,262242.1563,66,,FALSE,,,,
157.086,146565.5938,66,,FALSE,,,,
201.076,129586.8828,66,,FALSE,,,,
213.076,73718.15625,66,,FALSE,,,,
100.932,3650.636719,67,,FALSE,,,,
112.984,269037.8438,67,,FALSE,,,,
117.054,124968.3984,67,,FALSE,,,,
121.028,140506.7031,67,,FALSE,,,,
129.054,538807.375,67,,FALSE,,,,
132.922,18046.1582,67,,FALSE,,,,
143.07,412731,67,,FALSE,,,,
145.086,49758.60938,67,,FALSE,,,,
148.06,270564.1875,67,,FALSE,,,,
157.086,146170.25,67,,FALSE,,,,
157.122,131831.6094,67,,FALSE,,,,
187.06,181359.0313,67,,FALSE,,,,
201.076,147828.2031,67,,FALSE,,,,
213.076,74154.15625,67,,FALSE,,,,
112.984,236971.6094,68,,FALSE,,,,
129.054,503533.7813,68,,FALSE,,,,
132.922,14075.66113,68,,FALSE,,,,
143.07,334982.0625,68,,FALSE,,,,
148.06,232636.3281,68,,FALSE,,,,
157.086,131209.625,68,,FALSE,,,,
201.076,115587.4141,68,,FALSE,,,,
112.984,271751.6875,69,,FALSE,,,,
129.054,466660.4375,69,,FALSE,,,,
132.922,17247.13086,69,,FALSE,,,,
143.07,390694.0625,69,,FALSE,,,,
145.086,44707.53906,69,,FALSE,,,,
148.06,247102.4844,69,,FALSE,,,,
157.086,126224.4453,69,,FALSE,,,,
213.076,66750.85156,69,,FALSE,,,,
100.932,3611.421631,70,,FALSE,,,,
112.984,270237.9063,70,,FALSE,,,,
117.054,179148.5469,70,,FALSE,,,,
129.054,483280.4063,70,,FALSE,,,,
132.922,14878.68066,70,,FALSE,,,,
143.07,461074.5,70,,FALSE,,,,
145.086,49876.83984,70,,FALSE,,,,
148.06,262692.1875,70,,FALSE,,,,
157.086,141363.4375,70,,FALSE,,,,
187.06,178618.8281,70,,FALSE,,,,
199.06,92683.91406,70,,FALSE,,,,
213.076,81715.49219,70,,FALSE,,,,
112.984,227762.4063,71,,FALSE,,,,
129.054,501275.8125,71,,FALSE,,,,
132.922,13290.22656,71,,FALSE,,,,
143.07,412450.3125,71,,FALSE,,,,
148.06,244967.0156,71,,FALSE,,,,
157.086,145834.9063,71,,FALSE,,,,
